"","ARREST_PRECINCT","Population","Number_of_Arrests","Arrest_Rate","X1","DBN","School_Name.x","Cohort_Year","Cohort_Total","Grad_Total","Grad_Rate","Borough","Latitude","Longitude","Neighborhood","Building_Code","Register","Violent_Rate","Property_Crime_Rate","Major_Crime_Rate","Behavior_Rate","School_Name.y","Total_Enrollment","per_Male","per_Female","per_ELL","per_SWD","per_Asian","per_Black","per_Hispanic","per_White","per_Poverty","Transfer","District"
"411",107,151107,3309,0.0218983898826659,426,"28Q310","QUEENS COLLEGIATE: A COLLEGE BOARD SCHOOL",2013,100,89,0.89,"Q",40.713218,-73.797237,"Briarwood-Jamaica Hills","Q470",1868,0.160599571734475,0.267665952890792,0,0.481798715203426,"Queens Collegiate: A College Board School",647,46.7,53.3,9.4,14.2,24.1,52.9,18.2,2.3,87.9,0,"28"
"412",107,151107,3309,0.0218983898826659,398,"25Q425","JOHN BOWNE HIGH SCHOOL",2013,890,650,0.73,"Q",40.738139,-73.824944,"Kew Gardens Hills","Q425",3722,0.0806018269747448,0.16120365394949,0.0537345513164965,0.859752821063944,"John Bowne High School",3722,49.8,50.2,24,12.4,30.9,19,44,4.8,73.3,0,"25"
"413",107,151107,3309,0.0218983898826659,438,"28Q896","YOUNG WOMEN'S LEADERSHIP SCHOOL QUEENS",2013,84,81,0.964,"Q",40.707527,-73.806412,"Briarwood-Jamaica Hills","Q680",554,0,0,0,0.180505415162455,"Young Women's Leadership School, Queens",555,0,100,1.4,12.1,26.5,51.9,16.2,2.3,48.3,0,"28"
"414",107,151107,3309,0.0218983898826659,402,"25Q670","ROBERT F KENNEDY COMMUNITY HIGH SCHOOL",2013,169,137,0.811,"Q",40.725603,-73.810697,"Kew Gardens Hills","Q707",685,0.145985401459854,0.291970802919708,0,0.291970802919708,"Robert F. Kennedy Community High School",685,55.6,44.4,12.8,21.2,31.8,11.7,35.5,20.4,82.5,0,"25"
"415",107,151107,3309,0.0218983898826659,428,"28Q328","HIGH SCHOOL FOR COMMUNITY LEADERSHIP",2013,96,87,0.906,"Q",40.713218,-73.797237,"Briarwood-Jamaica Hills","Q470",1868,0.160599571734475,0.267665952890792,0,0.481798715203426,"High School for Community Leadership",357,54.9,45.1,21,14,21.6,45.4,28,2.8,88,0,"28"
"416",107,151107,3309,0.0218983898826659,433,"28Q620","THOMAS A EDISON CAREER AND TECHNICAL EDUCATION HIG",2013,499,443,0.888,"Q",40.715389,-73.800369,"Briarwood-Jamaica Hills","Q620",2168,0.276752767527675,0.138376383763838,0.230627306273063,0.322878228782288,"Thomas A. Edison Career and Technical Education Hi",2168,63.9,36.1,1.3,11.4,50.1,21.7,21.6,3.8,78,0,"28"
"417",107,151107,3309,0.0218983898826659,394,"25Q252","QUEENS SCHOOL OF INQUIRY THE",2013,77,73,0.948,"Q",40.724458,-73.810216,"Kew Gardens Hills","Q168",1335,0.149812734082397,0,0,0.149812734082397,"Queens School of Inquiry, The",590,50.7,49.3,2.2,14.1,38.6,16.4,25.3,18.1,57.1,0,"25"
"418",107,151107,3309,0.0218983898826659,432,"28Q505","HILLCREST HIGH SCHOOL",2013,848,620,0.731,"Q",40.709446,-73.80166,"Briarwood-Jamaica Hills","Q505",3230,0.154798761609907,0.0928792569659443,0.0619195046439629,0.371517027863777,"Hillcrest High School",3231,45.3,54.7,14.2,10.1,36.9,32.4,25.7,3.2,80.7,0,"28"
"419",107,151107,3309,0.0218983898826659,434,"28Q680","QUEENS GATEWAY TO HEALTH SCIENCES SECONDARY SCHOOL",2013,109,105,0.963,"Q",40.718831,-73.806499,"Pomonok-Flushing Heights-Hillcrest","Q695",811,0,0,0,0,"Queens Gateway to Health Sciences Secondary School",811,39.5,60.5,0.6,6.2,38.5,42.4,13.8,3.6,74.5,0,"28"
"420",108,113200,2970,0.0262367491166078,377,"24Q264","ACADEMY OF FINANCE AND ENTERPRISE",2013,140,132,0.943,"Q",40.745095,-73.936635,"Hunters Point-Sunnyside-West Maspeth","Q735",1488,0.0672043010752688,0.134408602150538,0,0.268817204301075,"Academy of Finance and Enterprise",467,47.8,52.2,6.6,11.6,18.6,8.8,56.7,13.5,80.9,0,"24"
"421",108,113200,2970,0.0262367491166078,378,"24Q267","HIGH SCHOOL OF APPLIED COMMUNICATION",2013,81,67,0.827,"Q",40.745095,-73.936635,"Hunters Point-Sunnyside-West Maspeth","Q735",1488,0.0672043010752688,0.134408602150538,0,0.268817204301075,"High School of Applied Communication",421,42.5,57.5,10,16.2,15.4,12.1,57.7,12.1,77.2,0,"24"
"422",108,113200,2970,0.0262367491166078,387,"24Q560","ROBERT F WAGNER JR SECONDARY SCHOOL FOR ARTS AND T",2013,108,100,0.926,"Q",40.742839,-73.936782,"Hunters Point-Sunnyside-West Maspeth",NA,NA,NA,NA,NA,NA,"Robert F. Wagner, Jr. Secondary School for Arts an",631,50.2,49.8,5.2,12,20.8,6.7,59.7,12.2,79.2,0,"24"
"423",108,113200,2970,0.0262367491166078,456,"30Q502","INFORMATION TECHNOLOGY HIGH SCHOOL",2013,198,168,0.848,"Q",40.748701,-73.94638,"Hunters Point-Sunnyside-West Maspeth","Q725",920,0.217391304347826,0.543478260869565,0,0.543478260869565,"Information Technology High School",920,71,29,10.7,15.8,16.1,16.3,57.9,8.8,81.3,0,"30"
"424",108,113200,2970,0.0262367491166078,390,"24Q610","AVIATION CAREER & TECHNICAL EDUCATION HIGH SCHOOL",2013,647,624,0.964,"Q",40.743509,-73.929076,"Hunters Point-Sunnyside-West Maspeth","Q610",2231,0,0.134468848050202,0,0.268937696100403,"Aviation Career & Technical Education High School",2231,83,17,2.6,6.7,29.1,6.1,51.6,10.9,52.3,0,"24"
"425",108,113200,2970,0.0262367491166078,385,"24Q530","INTERNATIONAL HIGH SCHOOL AT LAGUARDIA COMMUNITY C",2013,116,97,0.836,"Q",40.744412,-73.93364,"Hunters Point-Sunnyside-West Maspeth","Q520",998,0,0,0,0.100200400801603,"International High School at LaGuardia Community C",503,48.3,51.7,72.8,1.6,41,3,44.7,11.1,55.3,0,"24"
"426",108,113200,2970,0.0262367491166078,452,"30Q301","ACADEMY FOR CAREERS IN TELEVISION AND FILM",2013,121,119,0.983,"Q",40.742956,-73.959196,"Hunters Point-Sunnyside-West Maspeth","Q404",652,0,0.460122699386503,0.153374233128834,0.306748466257669,"Academy for Careers in Television and Film",470,53.6,46.4,2.6,18.1,5.7,17.2,56.2,20,68.5,0,"30"
"427",108,113200,2970,0.0262367491166078,384,"24Q520","MIDDLE COLLEGE HIGH SCHOOL AT LAGUARDIA COMMUNITY",2013,109,79,0.725,"Q",40.744412,-73.93364,"Hunters Point-Sunnyside-West Maspeth","Q520",998,0,0,0,0.100200400801603,"Middle College High School at LaGuardia Community",495,54.9,45.1,0.4,14.1,7.5,5.5,79,7.7,57.6,0,"24"
"428",108,113200,2970,0.0262367491166078,389,"24Q600","QUEENS VOCATIONAL AND TECHNICAL HIGH SCHOOL",2013,358,301,0.841,"Q",40.742205,-73.928219,"Hunters Point-Sunnyside-West Maspeth","Q600",1514,0.0660501981505945,0.264200792602378,0,0.396301188903567,"Queens Vocational and Technical High School",1514,60.4,39.6,4.8,12.5,10.4,5.9,76.1,7.5,85,0,"24"
"429",108,113200,2970,0.0262367491166078,381,"24Q299","BARD HIGH SCHOOL EARLY COLLEGE QUEENS",2013,143,142,0.993,"Q",40.745095,-73.936635,"Hunters Point-Sunnyside-West Maspeth","Q735",1488,0.0672043010752688,0.134408602150538,0,0.268817204301075,"Bard High School Early College Queens",600,40.7,59.3,0.3,0.7,35,11.5,17.2,34.7,46,0,"24"
"430",109,247354,5326,0.0215318935614544,392,"25Q240","VERITAS ACADEMY",2013,136,111,0.816,"Q",40.765166,-73.82789,"Flushing","Q460",3011,0.166057788110262,0.365327133842577,0.0996346728661574,0.597808037196945,"Veritas Academy",124,47.6,52.4,9.7,18.5,16.9,14.5,52.4,8.9,74.2,0,"25"
"431",109,247354,5326,0.0215318935614544,401,"25Q540","QUEENS ACADEMY HIGH SCHOOL",2013,165,15,0.091,"Q",40.765162,-73.8288,"Flushing","Q023",361,0,0.277008310249307,0,0,"Queens Academy High School",362,47,53,8,13.3,11.3,40.1,42.5,5.5,75.1,1,"25"
"432",109,247354,5326,0.0215318935614544,396,"25Q281","EASTWEST SCHOOL OF INTERNATIONAL STUDIES",2013,86,81,0.942,"Q",40.749545,-73.822073,"Flushing","Q237",1867,0.0535618639528656,0,0,0,"East-West School of International Studies",643,53.7,46.3,14,12.1,66.6,12.3,16,4.2,83.4,0,"25"
"433",109,247354,5326,0.0215318935614544,393,"25Q241","QUEENS HIGH SCHOOL FOR LANGUAGE STUDIES",2013,82,77,0.939,"Q",40.765166,-73.82789,"Flushing","Q460",3011,0.166057788110262,0.365327133842577,0.0996346728661574,0.597808037196945,"Queens High School for Language Studies",70,50,50,38.6,5.7,67.1,8.6,21.4,1.4,92.9,0,"25"
"434",109,247354,5326,0.0215318935614544,399,"25Q460","FLUSHING HIGH SCHOOL",2013,419,252,0.601,"Q",40.765166,-73.82789,"Flushing","Q460",3011,0.166057788110262,0.365327133842577,0.0996346728661574,0.597808037196945,"Flushing High School",2499,57.1,42.9,19.7,13.5,20.4,26,49.3,3.5,71.9,0,"25"
"435",109,247354,5326,0.0215318935614544,395,"25Q263","FLUSHING INTERNATIONAL HIGH SCHOOL",2013,99,64,0.646,"Q",40.759844,-73.820548,"Murray Hill","Q189",1158,0,0.0863557858376511,0,0.172711571675302,"Flushing International High School",412,58.5,41.5,86.4,2.2,58.7,2.4,35.2,2.7,97.3,0,"25"
"436",110,172634,5865,0.0339736089067044,379,"24Q293","CIVIC LEADERSHIP ACADEMY",2013,116,111,0.957,"Q",40.74373,-73.870642,"Elmhurst","Q744",1136,0,0.352112676056338,0,0.352112676056338,"Civic Leadership Academy",453,42.4,57.6,8.6,18.1,7.5,6.8,76.6,4.2,80.6,0,"24"
"437",110,172634,5865,0.0339736089067044,376,"24Q236","INTERNATIONAL HIGH SCHOOL FOR HEALTH SCIENCES",2013,70,41,0.586,"Q",40.741122,-73.874721,"Elmhurst","Q455",2053,0.0487092060399415,0.146127618119825,0,0.438382854359474,"International High School for Health Sciences",50,78,22,96,0,16,4,72,8,100,0,"24"
